辯中邊論卷上	(Madhyāntavibhāga-bhāṣya), first scroll
闕種性善友，   心極疲厭性，   及闕於正行，   鄙惡者同居； 倒麁重三餘，   般若未成熟，   及本性麁重，   懈怠放逸性； 著有著資財，   及心性下劣，   不信無勝解，   如言而思義； 輕法重名利，   於有情無悲，   匱聞及少聞，   不修治妙定。	(1) The absence of application, (2) [application in] inappropriate places, (3) erroneous conduct, (4) nonarising [of the virtuous Dharma], (5) not producing correct thought, (6) incomplete preparations, the lack of (7) spiritual lineage and (8) virtuous friends, (9) mental exhaustion, (10) lacking in correct practice, living together with (11) base and (12) wicked people, (13) cognitive debilitation, (14) the remainders among the three, (15) the immaturity of wisdom, (16) inherent debilitations, (17) laziness, (18) negligence, (19) attachment to existence, (20) attachment to wealth, (21) a dissolute state of mind, (22) lack of faith, (23) the absence of determination, (24) deliberation according to language, (25) disdain for the Dharma, (26) veneration of name and gain, (27) lack of compassion for sentient beings, (28) deficient learning and (29) little learning, and (30) lack of cultivation of meditative concentration. Chapter Two Commentary:
論曰：如是名為善等法障。	These are called obstacles to virtue, etc.
所障善等其相云何？	What are the characteristics of virtue, etc. that are obstructed?
頌曰：   善菩提攝受，   有慧無亂障，   迴向不怖慳，   自在名善等。	The verse reads as follows: “Virtue, etc.” refers to: (1) virtue, (2) bodhi (awakening), (3) sustaining, (4) possession of wisdom, the absence of (5) confusion and (6) obstacles, (7) dedication, the lack of (8) fear and (9) avarice, and (10) mastery.
論曰：如是善等十種淨法，誰有前說幾種障耶？	Commentary: With respect to these ten types of pure phenomena as they relate to virtue etc., which ones encompass which of the aforementioned types of obstacles?
頌曰：   如是善等十，   各有前三障。	The verse reads as follows: These ten (virtue, etc.) are each are beset with three obstacles to start with. Commentary:
論曰：善有三障，一無加行，二非處加行，三不如理加行。	Virtue is beset with three obstacles: (1) the absence of application, (2) application in inappropriate places, (3) application in erroneous conduct.
菩提有三障，一不生善法，二不起正思惟，三資糧未圓滿。	Awakening is beset with three obstacles: (1) nonarising of wholesome phenomena, (2) not giving rise to correct thought, (3) lack of complete preparation.
發菩提心名為攝受，此有三障，一闕種性、二闕善友、三心極疲厭性。	The generation of the mind of awakening (bodhicitta) is called “sustaining.” This is beset with three obstacles: (1) lack of spiritual lineage, (2) lack of virtuous friends, (3) mental exhaustion.
有慧者，謂菩薩，於了此性有三種障，一闕正行、二鄙者共住、三惡者共住。	“Possession of wisdom” refers to the bodhisattva who comprehends this nature; for them there are three obstacles: (1) lack of correct practice, (2) living together with base people, (3) living together with the wicked.
此中鄙者，謂愚癡類，樂毀壞他名為惡者。	Here “base people” refers to deluded types. Those who delight in the destruction of others are called the wicked.
無亂有三障，一顛倒麁重、二煩惱等三障中隨一有餘性、三能成熟解脫慧未成熟。 性障斷滅名無障，此有三障，一俱生麁重、二懈怠性、三放逸性。	The absence of confusion is beset with three obstacles: (1) the debilitations of cognitive distortion, (2) the residual qualities accompanying each of the three obstacles [of the afflictions, karma, and karmic fruition in the form of unfavorable rebirths], (3) the immaturity of wisdom that enables the maturation of liberation. The elimination of inherent obstacles is called the absence of obstacles. This is beset with three obstacles: (1) being born with congenital debilitations, (2) laziness, (3) negligence.
迴向有三障，令心向餘不向無上正等菩提，一貪著諸有、二貪著資財、三心下劣性。	Dedication is beset with three obstacles that make the mind face the other way, rather than facing unexcelled perfect awakening: (1) attachment to existence, (2) attachment to wealth, (3) a dissolute mind.
不怖有三障，一不信重補特伽羅、二於法無勝解、三如言而思義。	The absence of fear is beset with three obstacles: (1) lack of faith in persons, (2) absence of determination with respect to the Dharma, (3) deliberation according to language.
不慳有三障，一不尊重正法、二尊重名譽利養恭敬、三於諸有情心無悲愍。	The absence of avarice is beset with three obstacles: (1) lack of veneration of the true Dharma, (2) venerating name, gain, and honors, (3) lack of compassion for sentient beings.
自在有三障令不得自在，一匱聞生長能感匱法業故、二少聞、三不修治勝三摩地。	Mastery is beset with three obstacles that prevent one from gaining mastery: (1) deficient learning that emerges as a result of karma capable of causing deficiencies with respect to the Dharma, (2) little learning, (3) lack of cultivation of superior samādhi.
復次如是諸障於善等十，隨餘義中有十能作，即依彼義應知此名。	Furthermore, these obstacles have ten activations accompanying their other meanings with respect to the ten types (virtue, etc.). These should be known according to their respective meanings. The ten activations are as follows:
十能作者：一生起能作，如眼等於眼識等。	to the visual consciousness and other consciousnesses.
二安住能作，如四食於有情。 三任持能作，謂能任持，如器世間於有情世間。 四照了能作，如光明於諸色。 五變壞能作，如火等於所熟等。 六分離能作，如鎌等於所斷等。	food, sensory food, and nourishment from thought and the six consciousnesses] consumed by beings. provided by the receptacle world for sentient beings. which is cooked. what is cut.
