善法經	The Discourse on Wholesome Qualities
布七車已，從舍衛國出，至初車，乘初車，至第二車，捨初車，乘第二車，至第三車，捨第二車，乘第三車，至第四車，捨第三車，乘第四車，至第五車，捨第四車，乘第五車，至第六車，捨第五車，乘第六車，至第七車，乘第七車，於一日中至婆雞帝。	Having arranged the seven chariots, he set out from Sāvatthī in the first chariot.Riding in the first chariot, he reached the second chariot; leaving behind the first chariot and riding in the second chariot, he reached the third chariot; leaving behind the second chariot and riding in the third chariot, he reached the fourth chariot; leaving behind the third chariot and riding in the fourth chariot, he reached the fifth chariot; leaving behind the fourth chariot and riding in the fifth chariot, he reached the sixth chariot; leaving behind the fifth chariot and riding in the sixth chariot, he reached the seventh chariot; leaving behind the sixth chariot and riding in the seventh chariot, he reached Sāketa within a single day.
彼於婆雞帝辦其事已，大臣圍繞，坐王正殿，群臣白曰：	When the king had dealt with the matter in Sāketa, the great courtiers gathered and surrounded the king, who was seated in the main hall, and respectfully said:
『云何，天王！以一日行從舍衛國至婆雞帝耶？ 』王曰：『如是。』	Great King, did you come in a single day from Sāvatthī to Sāketa? The king replied: That is so. 
『云何天王，乘第一車一日從舍衛國至婆雞帝耶？ 』王曰：『不也。』	Did the Great King come in a single day from Sāvatthī to Sāketa by riding in the first chariot? The king replied: Not so.
『乘第二車乘第三車至第七車，從舍衛國至婆雞帝耶？ 』王曰：『不也。』	Did you come from Sāvatthī to Sāketa by riding in the second chariot… , by riding in the third chariot. , (and so on up to) by riding in the seventh chariot? [And to each question] the king replied: Not so.
云何賢者！拘薩羅王波斯匿群臣復問，當云何說？」	What do you say, venerable friend: in what way should King Pasenadi of Kosala answer on being asked this by the gathering of courtiers?
「王答群臣：『我在舍衛國，於婆雞帝有事，我作是念：「以何方便，令一日行，從舍衛國至婆雞帝耶？」	[Sāriputta answered] The king [should] answer the gathering of courtiers: I was in Sāvatthī and I had some matter [to attend to] in Sāketa. Then I thought, ‘Using what expedient means can I reach Sāketa from Sāvatthī in a single day’s journey?’
我復作是念：「我今寧可從舍衛國至婆雞帝，於其中間布置七車。」	I further thought, ‘I shall now have seven chariots arranged [along the road] from Sāvatthī to Sāketa.’ 
我時即從舍衛國至婆雞帝，於其中間布置七車。	So, I had seven chariots arranged [along the road] from Sāvatthī to Sāketa. 
布七車已，從舍衛國出，至初車，乘初車，至第二車，捨初車，乘第二車，至第三車，捨第二車，乘第三車，至第四車，捨第三車，乘第四車，至第五車，捨第四車，乘第五車，至第六車，捨第五車，乘第六車，至第七車，乘第七車，於一日中至婆雞帝。 』	Having arranged the seven chariots, I set out from Sāvatthī in the first chariot. Riding in the first chariot, I reached the second chariot; leaving behind the first chariot and riding in the second chariot, I reached the third chariot; leaving behind the second chariot and riding in the third chariot, I reached the fourth chariot; leaving behind the third chariot and riding in the fourth chariot, I reached the fifth chariot; leaving behind the fourth chariot and riding in the fifth chariot, I reached the sixth chariot; leaving behind the fifth chariot and riding in the sixth chariot, I reached the seventh chariot; leaving behind the sixth chariot and riding in the seventh chariot, I reached Sāketa within a single day.
如是，賢者！ 拘薩羅王波斯匿答對群臣所問如是。	Thus, venerable friend, [should] King Pasenadi of Kosala reply to the questions put in this way by the gathering of courtiers.
如是，賢者！ 以戒淨故，得心淨，以心淨故，得見淨，以見淨故，得疑蓋淨，以疑葢淨故，得道非道知見淨，以道非道知見淨故，得道跡知見淨，以道跡知見淨故，得道跡斷智淨，以道跡斷智淨故，世尊施設無餘涅槃。」	In the same way, venerable friend, through purification of virtue, one attains purification of mind; through purification of mind, one attains purification of view; through purification of view, one attains purification [from] the hindrance of doubt; through purification [from] the hindrance of doubt, one attains purification by knowledge and vision of [what is] the path and [what is] not the path; through purification by knowledge and vision of [what is] the path and [what is] not the path, one attains purification by knowledge and vision of the way; through purification by knowledge and vision of the way, one attains purification by knowledge of the way to abandoning; through purification by knowledge of the way to abandoning, the World-honored One designates nirvana without remainder.
於是，尊者舍梨子問尊者滿慈子：「賢者名何等？諸梵行人云何稱賢者耶？ 」	Then Venerable Sāriputta asked Venerable Puṇṇa Mantāṇiputta: What is the venerable one’s name? How do his companions in the holy life call the venerable one? 
尊者滿慈子答曰：「賢者！我號滿也。 我母名慈，故諸梵行人稱我為滿慈子。」	Venerable Puṇṇa Mantāṇiputta replied: Venerable friend, I am called Puṇṇa and my mother’s name is Mantāṇī; therefore, my companions in the holy life call me Puṇṇa Mantāṇiputta. 
尊者舍梨子歎曰：「善哉，善哉！賢者滿慈子	Venerable Sāriputta expressed his praise:Excellent, excellent, Venerable Puṇṇa Mantāṇiputta!
為如來弟子，所作智辯聰明決定，安隱無畏，成就調御，逮大辯才，得甘露幢，於甘露界自作證成就遊，以問賢者甚深義盡能報故。 	As befits a disciple of the Tathāgata, [the venerable one] has explained wisely, with intelligence and determination, calm and without wavering, being an accomplished trainer who has achieved great eloquence, has attained the banner of the deathless, and dwells having himself realized the element of deathlessness—for the venerable one has been able, on being questioned, to respond fully on a profound issue.
賢者滿慈子！諸梵行人為得大利，得值賢者滿慈子，隨時往見，隨時禮拜，我今亦得大利，隨時往見，隨時禮拜。	Venerable Puṇṇa Mantāṇiputta’s companions in the holy life will obtain great benefit if they get to meet Venerable Puṇṇa Mantāṇiputta, to visit and pay homage to him on a suitable occasion. Now I too have obtained great benefit on visiting and paying homage to him on [this] suitable occasion.
諸梵行人應當縈衣頂上戴賢者滿慈子，為得大利，我今亦得大利，隨時往見，隨時禮拜。」	Great benefit would be obtained by his companions in the holy life if they were to roll up their robes and put them on their heads to carry Venerable Puṇṇa Mantāṇiputta [around on their heads]. Now I too have obtained great benefit on visiting and paying homage to him on [this] suitable occasion.
尊者滿慈子問尊者舍梨子：「賢者名何等，諸梵行人云何稱賢者耶？」	Venerable Puṇṇa Mantāṇiputta asked Venerable Sāriputta: What is the venerable one’s name?
尊者舍梨子答曰：「賢者！我字優波鞮舍，我母名舍梨，故諸梵行人稱我為舍梨子。」	How do his companions in the holy life call the venerable one? Venerable Sāriputta replied: Venerable friend, my name is Upatissa and my mother’s name is Sārī; therefore my companions in the holy life call me Sāriputta.
尊者滿慈子歎曰：「我今與世尊弟子共論而不知，第二尊共論而不知，法將共論而不知，轉法輪復轉弟子共論而不知。	Venerable Puṇṇa Mantāṇiputta expressed his praise: Today, unwittingly, I have discussed with a disciple of the World-honored One, unwittingly I have discussed with the second most respected one, unwittingly I have discussed with the general of the Dharma, unwittingly I have discussed with the disciple who keeps the wheel of Dharma turning.
若我知尊者舍梨子者，不能答一句，況復爾所深論？	If I had known that this was Venerable Sāriputta, I would not have been able to answer with even one sentence, let alone discuss so deeply.
善哉，善哉！尊者舍梨子！	Excellent, excellent, Venerable Sāriputta!
為如來弟子，所作智辯聰明決定，安隱無畏、成就調御、逮大辯才、得甘露幢，於甘露界自作證成就遊，以尊者甚深甚深問故。 尊者舍梨子！	As befits a disciple of the Tathāgata, [the venerable one] has explained wisely, with intelligence and determination, calm and without wavering, being an accomplished trainer who has achieved great eloquence, has attained the banner of the deathless, and dwells having himself realized the element of deathlessness—for the venerable one has posed very profound questions.
諸梵行人為得大利，得值尊者舍梨子，隨時往見，隨時禮拜，我今亦得大利，隨時往見，隨時禮拜。	Venerable Sāriputta’s companions in the holy life will obtain great benefit if they get to meet Venerable Sāriputta, to visit and pay homage to him on a suitable occasion. Now I too have obtained great benefit on visiting and paying homage to him on this suitable occasion.
諸梵行人應當縈衣頂上戴尊者舍梨子，為得大利，我今亦得大利，隨時往見，隨時禮拜。」	Great benefit would be obtained by his companions in the holy life if they were to roll up their robes and put them on their heads to carry Venerable Sāriputta [around on their heads]. Now I too have obtained great benefit on visiting and paying homage to him on [this] suitable occasion.
如是二賢更相稱說，更相讚善已，歡喜奉行，即從坐起，各還所止。	In this way these two venerable ones praised each other. Having commended each other, they were delighted and remembered [the exchange] well. Each rose from his seat and returned to his dwelling place.

漏盡經	The Discourse on the Cessation of the Taints
我聞如是：一時，佛遊拘樓瘦，在劒磨瑟曇拘樓都邑。	Thus have I heard: At one time the Buddha was staying among the Kurus, at a Kuru town called Kammāsadhamma.
爾時，世尊告諸比丘：「以知、以見故諸漏得盡，非不知、非不見也。	At that time, the World-honored One addressed the monks: Through knowing and seeing, one attains the cessation of the taints, not without knowing and seeing.
云何以知、以見故諸漏得盡耶？	How does one attain the cessation of the taints through knowing and seeing?
有正思惟、不正思惟，若不正思惟者，未生欲漏而生，已生便增廣，未生有漏、無明漏而生，已生便增廣；	There is right attention and there is wrong attention. If one engages in wrong attention, then the not yet arisen taint of sensual desire will arise and the arisen [taint of sensual desire] will increase; the not yet arisen taints of existence and of ignorance will arise and the arisen [taints of existence and of ignorance] will increase.
若正思惟者，未生欲漏而不生，已生便滅，未生有漏、無明漏而不生，已生便滅。	If, [however,] one engages in right attention, then the not yet arisen taint of sensual desire will not arise and the arisen [taint of sensual desire] will cease; the not yet arisen taints of existence and of ignorance will not arise and the arisen [taints of existence and of ignorance] will cease.
然凡夫愚人不得聞正法，不值真知識，不知聖法，不調御聖法，不知如真法。 不正思惟者，未生欲漏而生，已生便增廣，未生有漏、無明漏而生，已生便增廣。	The foolish worldling, who has not got to hear the right Dharma, has not met genuine good friends, does not know the noble Dharma, has not been trained in the noble Dharma, and does not know the Dharma as it really is—[if such a person] engages in wrong attention, then the not yet arisen taint of sensual desire will arise, and the arisen [taint of sensual desire] will increase; the not yet arisen taints of existence and of ignorance will arise, and the arisen [taints of existence and of ignorance] will increase.
正思惟者，未生欲漏而不生，已生便滅，未生有漏、無明漏而不生，已生便滅。	[If, however, this person] engages in right attention, then the not yet arisen taint of sensual desire will not arise, and the arisen [taint of sensual desire] will cease; the not yet arisen taints of existence and of ignorance will not arise, and the arisen [taints of existence and of ignorance] will cease.
不知如真法故，不應念法而念，應念法而不念，以不應念法而念，應念法而不念故，未生欲漏而生，已生便增廣，未生有漏、無明漏而生，已生便增廣。	Through not knowing the Dharma as it really is, [the foolish worldling] thinks thoughts that should not be thought, and does not think thoughts that should be thought. Through his thinking thoughts that should not be thought, and not thinking thoughts that should be thought, the not yet arisen taint of sensual desire will arise, and the arisen [taint of sensual desire] will increase; the not yet arisen taints of existence and of ignorance will arise, and the arisen [taints of existence and of ignorance] will increase.
多聞聖弟子得聞正法，值真知識，調御聖法，知如真法。 不正思惟者，未生欲漏而生，已生便增廣，未生有漏、無明漏而生，已生便增廣。	The learned noble disciple who has got to hear the right Dharma, has met genuine good friends, has been trained in the noble Dharma, and knows the Dharma as it really is—[if such a person nevertheless] engages in wrong attention, then the not yet arisen taint of sensual desire will arise, and the arisen [taint of sensual desire] will increase; the not yet arisen taints of existence and of ignorance will arise, and the arisen [taints of existence and of ignorance] will increase.
正思惟者，未生欲漏而不生，已生便滅，未生有漏、無明漏而不生，已生便滅。	[If, however, such a person] engages in right attention, then the not yet arisen taint of sensual desire will not arise, and the arisen [taint of sensual desire] will cease; the not yet arisen taints of existence and of ignorance will not arise, and the arisen [taints of existence and of ignorance] will cease.
知如真法已，不應念法不念，應念法便念，以不應念法不念，應念法便念故，未生欲漏而不生，已生便滅，未生有漏、無明漏而不生，已生便滅也。	Through knowing the Dharma as it really is, [the learned noble disciple] does not think thoughts that should not be thought, and thinks thoughts that should be thought. Through his not thinking thoughts that should not be thought, and thinking thoughts that should be thought, the not yet arisen taint of sensual desire will not arise, and the arisen [taint of sensual desire] will cease; the not yet arisen taints of existence and of ignorance will not arise, and the arisen [taints of existence and of ignorance] will cease.
有七斷漏、煩惱、憂慼法。云何為七？	There are seven [ways] of abandoning the taints, which [cause] distress, vexation, dejection, and sorrow. What are the seven?
有漏從見斷，有漏從護斷，有漏從離斷，有漏從用斷，有漏從忍斷，有漏從除斷，有漏從思斷。	There are taints that are to be abandoned through seeing, there are taints to be abandoned through guarding, there are taints to be abandoned through a avoiding, there are taints to be abandoned through using, there are taints to be abandoned through enduring, there are taints to be abandoned through removing, and there are taints to be abandoned through attending.
云何有漏從見斷耶？	How are taints abandoned through seeing?
凡夫愚人不得聞正法，不值真知識，不知聖法，不調御聖法，不知如真法，不正思惟故，便作是念：『我有過去世，我無過去世，我何因過去世，我云何過去世耶？	The foolish worldling, who has not got to hear the right Dharma, has not met genuine good friends, does not know the noble Dharma, and has not been trained in the noble Dharma—he does not know the Dharma as it really is. [Such a person,] through not practicing right attention, has the following thoughts: I was in the past! I was not in the past! From what cause was I in the past? How was I in the past?
我有未來世，我無未來世，我何因未來世，我云何未來世耶？	I will be in the future! I will not be in the future! From what cause will I be in the future? How will I be in the future?
自疑己身何謂是，云何是耶？	He wonders about himself [in the present]: What is this so-called self? How did it come to be?
今此眾生從何所來，當至何所？	This present sentient being, from where has it come? Where will it go?
本何因有，當何因有？』	Rooted in what cause does it exist? From what future cause will it exist?
彼作如是不正思惟，於六見中隨其見生而生真有神，此見生而生真無神，此見生而生神見神，此見生而生神見非神，此見生而生非神見神，此見生而生此是神，能語、能知、能作、教、作起、教起，生彼彼處，受善惡報，定無所從來，定不有、定不當有。	As he engages in wrong attention in this way, there arises [one or another of] six views. The view arises that there truly is a self; or the view arises that there truly is no self; or the view arises that the self perceives the self; or the view arises that the self perceives the not-self; or the view arises that the not-self perceives the self; or the view arises that this is the self, namely that which is able to talk, able to know, able to act and to teach, and which acts and teaches, which is born in this or that realm and experiences the fruits of good and evil [actions], which certainly has come from nowhere, certainly does not exist, and certainly will not exist.
是謂見之弊，為見所動，見結所繫，凡夫愚人以是之故，便受生、老、病、死苦也。	This is called the deception of views, the agitation of views, the bondage of views, because of which the foolish worldling undergoes the suffering of birth, old age, disease, and death.
多聞聖弟子得聞正法，值真知識，調御聖法，知如真法，知苦如真，知苦習、知苦滅、知苦滅道如真。	The learned noble disciple, who has got to hear the right Dharma, has met genuine good friends, and has been trained in the noble Dharma—he knows the Dharma as it really is, knows suffering as it really is, knows the arising of suffering, knows the cessation of suffering, and knows the path [leading] to the cessation of suffering as it really is. 
彼如是知、如是見，三結便盡，謂身見、戒取、疑。	Through his having come to know this as it really is, three fetters cease: personality view, clinging to precepts, and doubt.
